Circuit,ReferenceCompound,NLaps,NStints,FuelSecPerFullTank,FuelCILow,FuelCIHigh,ImpliedSecPerKg,AssumedSecPerKg,DesignFullRank,ConditionNumber
Bahrain,HARD,2425,186,4.306495838393972,4.094378836057323,4.594734255107125,0.04306495838393972,0.035,True,334.32318607582863
Great Britain,MEDIUM,1854,118,3.0801269898349832,2.7673039754627604,3.4021557939176215,0.03080126989834983,0.035,True,505.930652530638
Hungary,HARD,3169,161,3.2410445827911274,2.9741732394537146,3.4553461739789446,0.03241044582791128,0.035,True,456.2469945878281
Netherlands,MEDIUM,2852,151,3.081703675166242,2.8823227458700496,3.347610082409541,0.030817036751662422,0.035,True,617.2528027403789
Spain,SOFT,3110,184,3.8162519475675003,3.613393165463936,4.01427212494786,0.038162519475675005,0.035,True,390.86631665402393
United States,HARD,2300,139,3.7545977342446055,3.546156564846092,3.982154271275133,0.03754597734244605,0.035,True,856.8627209833569
