Season,Circuit,Driver,Stint,Compound,NLaps,LooRmseLinear,LooRmseQuadratic,QuadraticWins
2022,Great Britain,SAI,4.0,SOFT,10,0.17973963922169553,0.1921605789411399,False
2022,Great Britain,STR,3.0,HARD,21,0.36548724149277023,0.4000933924442418,False
2022,Great Britain,STR,4.0,MEDIUM,10,0.5172869042669754,0.6378624078181501,False
2022,Great Britain,TSU,2.0,SOFT,13,0.5058509172483453,0.5990270728594411,False
2022,Great Britain,TSU,3.0,HARD,16,0.28205007222296485,0.29959895777168166,False
2022,Great Britain,VER,4.0,HARD,12,0.2968143112010932,0.3481070716585669,False
2022,Great Britain,VER,5.0,SOFT,10,0.5322959659747188,0.451086442141999,True
2022,Great Britain,VET,3.0,MEDIUM,28,0.12503514829297618,0.13411243965943925,False
2022,Great Britain,VET,4.0,MEDIUM,10,0.31518298636108766,0.4146345693192402,False
2022,Hungary,ALB,2.0,MEDIUM,14,0.3008911836927451,0.32138040960295583,False
2022,Hungary,ALB,3.0,MEDIUM,13,0.38419951877625297,0.4118435300578841,False
2022,Hungary,ALB,4.0,SOFT,24,0.8084754496872901,0.7929910541980475,True
2022,Hungary,ALO,1.0,MEDIUM,17,0.6765952283938734,0.7037149737598565,False
2022,Hungary,ALO,2.0,HARD,38,0.5749441640164171,0.5491027445338212,True
2022,Hungary,BOT,1.0,MEDIUM,22,0.5811767315833941,0.5075986679937896,True
2022,Hungary,BOT,2.0,HARD,28,0.18685373044425607,0.16036319953236208,True
2022,Hungary,GAS,1.0,SOFT,12,0.528110323742897,0.37207549199674506,True
2022,Hungary,GAS,2.0,MEDIUM,23,0.26761871461918013,0.23893042508023307,True
2022,Hungary,GAS,3.0,SOFT,15,1.2049728822613823,1.0054295585624553,True
2022,Hungary,HAM,1.0,MEDIUM,15,0.4648913323235499,0.5084031934138393,False
2022,Hungary,HAM,2.0,MEDIUM,24,0.2583758305886499,0.2669393050569657,False
2022,Hungary,HAM,3.0,SOFT,14,0.6504409791961219,0.6864718321550102,False
2022,Hungary,LAT,1.0,MEDIUM,14,0.2813604633330591,0.3121724031703712,False
2022,Hungary,LAT,2.0,MEDIUM,14,0.2879031540943506,0.30674836335057354,False
2022,Hungary,LAT,3.0,SOFT,10,0.4287045603694004,0.46846422546612826,False
