TestSeason,DryRacesOnly,TrainSeasons,NCircuits,NWithOneStop,ModelMAELaps,LinearOnlyMAELaps,WithCurvatureMAELaps,BaselineMAELaps,PersistenceMAELaps,MeanSignedErrorLaps,StopCountAccuracy
2023,False,2022,6,6,12.583333333333334,12.583333333333334,12.583333333333334,16.5,6.166666666666667,12.583333333333334,0.6666666666666666
2024,False,"2022,2023",6,6,6.0,6.0,8.0,10.583333333333334,6.5,5.666666666666667,0.6666666666666666
2023,True,2022,5,5,7.7,7.7,7.7,13.0,5.0,7.7,0.8
2024,True,"2022,2023",5,5,7.0,7.0,9.4,12.7,7.3,7.0,0.8
